Title,Provider,Description,Deadline,Local_ScholarshipType,Overseas_ScholarshipType,Singaporean_Nationality,PR_Nationality,Foreigner_Nationality,Olvl_EducationLevel,JC_EducationLevel,Poly_EducationLevel,Uni_EducationLevel,Masters_EducationLevel,ITE_EducationLevel
iBuildSG ITE Scholarship,Building and Construction Authority (BCA),The iBuildSG ITE Scholarship programme is offered by BCA; in collaboration with industry firms; to Singaporean / Singapore Permanent Resident students of high calibre pursuing full-time Built Environment (BE) courses at the ITE colleges. Through these programmes; graduates will enjoy opportunities t...,Deadline: Closed for this cycle.,T,F,T,T,F,T,F,F,F,F,T
BCA Overseas Undergraduate Scholarship - For 'A' Level and Diploma Holders (Main Cycle 2019),Building and Construction Authority (BCA),Building and Construction Authority (BCA) is offering young talents an opportunity to take up career as a professional in shaping a Safe; High Quality; Sustainable and Friendly Built environment. Value of Award & Bond Tuition fees and other approved charges Allowances (maintenance; book; pre-stu...,Deadline: Closed for this cycle.,F,T,T,T,F,F,T,T,F,F,F
BCA Mid-Term Undergraduate Scholarship - For Local Undergraduates (Main Cycle 2019),Building and Construction Authority (BCA),If you are currently pursing your undergraduate studies at the Nanyang Technological University (NTU); National University of Singapore (NUS); Singapore University of Technology and Design (SUTD); Singapore Institute of Technology (SIT) or Singapore Management University (SMU); you are invited to ap...,Deadline: Closed for this cycle.,T,F,T,T,F,F,F,F,T,F,F
DesignSingapore Scholarship,DesignSingapore Council,DesignSingapore Scholarship is for individuals with creativity; drive and passion for design. The scholarship will groom designers to become designer leaders who will use strategy and innovation to make things better by design. Our scholarship holders may come from different fields of design; but th...,Deadline: Closed for this cycle.,T,T,T,T,F,F,T,T,T,T,F
The EMA Scholarship (Full-Term),Energy Market Authority (EMA),SWITCH ON YOUR POTENTIAL WITH US At EMA; we believe that a future of innovative and efficient energy that lasts for Singapore begins with a single spark; yours. This is why we want to offer a scholarship that will enable you to pursue the education necessary to achieve your dreams with us. Upon grad...,Deadline: Closed for this cycle.,T,T,T,T,F,F,T,T,F,F,F
The EMA Scholarship (Mid-Term),Energy Market Authority (EMA),SWITCH ON YOUR POTENTIAL WITH US At EMA; we believe that a future of innovative and efficient energy that lasts for Singapore begins with a single spark; yours. This is why we want to offer a scholarship that will enable you to pursue the education necessary to achieve your dreams with us. Upon grad...,Deadline: Closed for this cycle.,T,F,T,T,F,F,F,F,T,F,F
Gardens by the Bay Overseas and Local Scholarship (2019),Gardens by the Bay,Eligibility Singapore Citizen or Singapore Permanent Resident (SPR) GCE ï¿½Aï¿½ Level; local Polytechnic Diploma or equivalent Mid-term undergraduate or post-graduate students; or mid-career individuals with relevant industry experience are also welcome Record of excellent academic results I...,Deadline: Closed for this cycle.,T,T,T,T,F,F,T,T,T,T,F
HPB Internship Programme,Health Promotion Board (HPB),Are you passionate about health? Want to make a change in the community? HPB is a dynamic environment that inspires fellow Singaporeans to build and live a healthy lifestyle. If you share our vision of building a nation of healthy and happy people; we can provide the internship experience you are lo...,Deadline: All Year Round,T,F,T,T,F,T,F,T,T,F,F
HPB Undergraduate Scholarship (Full-Term / Mid-Term),Health Promotion Board (HPB),The HPB Scholarship comes in two main categories. The Full-Term Scholarship is available to pre-university students with excellent GCE ï¿½Aï¿½ Level results or the equivalent. Those in the midst of their undergraduate studies will apply for the Mid-Term Scholarship. Disciplines offered The H...,Deadline: Closed for this cycle.,T,T,T,F,F,F,T,T,T,F,F
Sponsorship in Diploma in Oral Health Therapy (2018-2019),Health Promotion Board (HPB),Sponsorship for the Diploma in Oral Health Therapy HPB provides sponsorship for outstanding students pursuing a Diploma in Oral Health Therapy. Upon graduation; the sponsored students will have the opportunity to pursue a meaningful career with us. The HPB Sponsorship covers: Year 2: S$900 every mon...,Deadline: Closed for this cycle.,T,F,T,T,F,T,F,T,F,F,F
HDB Mid-Term Scholarship,Housing & Development Board (HDB),The HDB Mid-Term Scholarship is offered to Singaporeans or Permanent Residents with excellent academic results and CCA records to pursue the remaining years of their degree. The bond duration will be dependent on the remaining duration of their studies. The HDB Scholarship is offered for a range of ...,Deadline: All Year Round,T,T,T,T,F,F,F,F,T,F,F
HDB Mid-Term Specialist Scholarship,Housing & Development Board (HDB),The HDB Mid-Term Specialist Scholarship is offered to Singaporeans or Permanent Residents with very good academic results and CCA records to pursue the remaining years of their degree. The bond duration will be dependent on the remaining duration of their studies. The HDB Mid Term Specialist Scholar...,Deadline: All Year Round,T,T,T,T,F,F,F,F,T,F,F
HDB Undergraduate Specialist Scholarship,Housing & Development Board (HDB),The HDB Undergraduate Specialist Scholarship is offered to Singaporeans or Permanent Residents with very good A-level; International Baccalaureate or Diploma (or equivalent) results and CCA records. Scholars will have to fulfil a bond period of 4 years for local sponsorship upon graduation. The HDB ...,Deadline: Closed for this cycle.,T,T,T,T,F,F,T,T,T,F,F
IRAS Overseas/ Merit Undergraduate Scholarship,Inland Revenue Authority of Singapore (IRAS),Why choose the IRAS scholarship? (Overseas/ Merit Undergraduate Scholarship) IRAS takes an active role in developing the potential of talented individuals. We are constantly on the look-out for outstanding individuals who are willing and ready to take on a challenging career to join us in the next p...,Deadline: Closed for this cycle.,T,T,T,T,F,F,T,T,T,F,F
IRAS Mid-Term Scholarship,Inland Revenue Authority of Singapore (IRAS),The IRAS mid-term scholarship is available to existing undergraduates at local or overseas tertiary institutions who are keen to pursue a tax career. After being awarded the IRAS mid-term scholarship; IRAS will pay the remaining expenses incurred for your undergraduate studies. Upon graduation when ...,Deadline: Closed for this cycle.,T,T,T,T,F,F,T,T,T,F,F
IRAS Scholarship for Real Estate,Inland Revenue Authority of Singapore (IRAS),The IRAS Scholarship for Real Estate provides full sponsorship for applicants who are intending to pursue a NUS Bachelor of Science (Real Estate) programme. Bond period: 4 years Prerequisites: We are seeking individuals with: ï¿½ outstanding GCE ï¿½Aï¿½ levels; Polytechnic results or equi...,Deadline: Closed for this cycle.,T,T,T,T,F,F,T,T,T,F,F
The MPA Scholarship Programme 2019,Maritime and Port Authority of Singapore (MPA),We are from the Maritime and Port Authority of Singapore; or MPA in short. If you would like to embark on greater challenges ahead towards a Future Ready MPA with us; read on! Our scholarship offers exciting opportunities for you to gain valuable exposure to the thriving maritime industry. You will ...,Deadline: Closed for this cycle.,T,T,T,T,F,F,T,T,T,F,F
The MPA Mid-Term Scholarship Programme 2019,Maritime and Port Authority of Singapore (MPA),We are from the Maritime and Port Authority of Singapore; or MPA in short. If you would like to embark on greater challenges ahead towards a Future Ready MPA with us; read on! We are now offering Mid-Term Scholarship to undergraduates with outstanding academic and leadership track record. Students c...,Deadline: 31 Aug 2019; Sat,T,T,T,T,F,F,F,T,T,F,F
PSA - MaritimeONE Scholarship (NTU EEE Y2),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NTU Year 2 students in AY 2019/20. Sponsor PSA Corporation Ltd (For more information on the sponsor; please go to www.singaporepsa.com) Disciplines / Course Bachelor of Engineering (Electrical and Electronic Engineering) Tenable Universities / Institutions Nanyang Technol...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
PSA - MaritimeONE Scholarship (NTU EEE Y3),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NTU Year 3 students in AY 2019/20. Sponsor PSA Corporation Ltd (For more information on the sponsor; please go to www.singaporepsa.com) Disciplines / Course Bachelor of Engineering (Electrical and Electronic Engineering) Tenable Universities / Institutions Nanyang Technol...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
PSA - MaritimeONE Scholarship (NTU EEE Y4),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NTU Year 4 students in AY 2019/20. Sponsor PSA Corporation Ltd (For more information on the sponsor; please go to www.singaporepsa.com) Disciplines / Course Bachelor of Engineering (Electrical and Electronic Engineering) Tenable Universities / Institutions Nanyang Technol...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
PSA - MaritimeONE Scholarship (NTU CS Y2),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NTU Year 2 students in AY 2019/20. Sponsor PSA Corporation Ltd (For more information on the sponsor; please go to www.singaporepsa.com) Disciplines / Course Bachelor of Engineering (Computer Science) Tenable Universities / Institutions Nanyang Technological University Bon...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
PSA - MaritimeONE Scholarship (NTU CS Y3),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NTU Year 3 students in AY 2019/20. Sponsor PSA Corporation Ltd (For more information on the sponsor; please go to www.singaporepsa.com) Disciplines / Course Bachelor of Engineering (Computer Science) Tenable Universities / Institutions Nanyang Technological University Bon...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
PSA - MaritimeONE Scholarship (NTU CS Y4),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NTU Year 4 students in AY 2019/20. Sponsor PSA Corporation Ltd (For more information on the sponsor; please go to www.singaporepsa.com) Disciplines / Course Bachelor of Engineering (Computer Science) Tenable Universities / Institutions Nanyang Technological University Bon...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
PSA - MaritimeONE Scholarship (NTU ME Y2),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NTU Year 2 students in AY 2019/20. Sponsor PSA Corporation Ltd (For more information on the sponsor; please go to www.singaporepsa.com) Disciplines / Course Bachelor of Engineering (Mechanical Engineering) Tenable Universities / Institutions Nanyang Technological Universi...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
PSA - MaritimeONE Scholarship (NUS ME Y3),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NUS Year 3 students in AY 2019/20. Sponsor PSA Corporation Ltd (For more information on the sponsor; please go to www.singaporepsa.com) Disciplines / Course Bachelor of Engineering (Mechanical Engineering) Tenable Universities / Institutions National University of Singapo...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
PSA - MaritimeONE Scholarship (NTU ME Y4),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NTU Year 4 students in AY 2019/20. Sponsor PSA Corporation Ltd (For more information on the sponsor; please go to www.singaporepsa.com) Disciplines / Course Bachelor of Engineering (Mechanical Engineering) Tenable Universities / Institutions Nanyang Technological Universi...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
PSA - MaritimeONE Scholarship (NUS CE Y2),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NUS Year 2 students in AY 2019/20. Sponsor PSA Corporation Ltd (For more information on the sponsor; please go to www.singaporepsa.com) Disciplines / Course Bachelor of Engineering (Computer Engineering) Tenable Universities / Institutions National University of Singapore...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
PSA - MaritimeONE Scholarship (NUS CE Y3),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NUS Year 3 students in AY 2019/20. Sponsor PSA Corporation Ltd (For more information on the sponsor; please go to www.singaporepsa.com) Disciplines / Course Bachelor of Engineering (Computer Engineering) Tenable Universities / Institutions National University of Singapore...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
PSA - MaritimeONE Scholarship (NUS CE Y4),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NUS Year 4 students in AY 2019/20. Sponsor PSA Corporation Ltd (For more information on the sponsor; please go to www.singaporepsa.com) Disciplines / Course Bachelor of Engineering (Computer Engineering) Tenable Universities / Institutions National University of Singapore...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
PSA - MaritimeONE Scholarship (NUS CS Y2),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NUS Year 2 students in AY 2019/20. Sponsor PSA Corporation Ltd (For more information on the sponsor; please go to www.singaporepsa.com) Disciplines / Course Bachelor of Computing (Computer Science) Tenable Universities / Institutions National University of Singapore Bond ...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
PSA - MaritimeONE Scholarship (NUS CS Y3),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NUS Year 3 students in AY 2019/20. Sponsor PSA Corporation Ltd (For more information on the sponsor; please go to www.singaporepsa.com) Disciplines / Course Bachelor of Computing (Computer Science) Tenable Universities / Institutions National University of Singapore Bond ...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
PSA - MaritimeONE Scholarship (NUS CS Y4),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NUS Year 4 students in AY 2019/20. Sponsor PSA Corporation Ltd (For more information on the sponsor; please go to www.singaporepsa.com) Disciplines / Course Bachelor of Computing (Computer Science) Tenable Universities / Institutions National University of Singapore Bond ...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
PSA - MaritimeONE Scholarship (NUS ME Y2),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NUS Year 2 students in AY 2019/20. Sponsor PSA Corporation Ltd (For more information on the sponsor; please go to www.singaporepsa.com) Disciplines / Course Bachelor of Engineering (Mechanical Engineering) Tenable Universities / Institutions National University of Singapo...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
PSA - MaritimeONE Scholarship (NTU ME Y3),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NTU Year 3 students in AY 2019/20. Sponsor PSA Corporation Ltd (For more information on the sponsor; please go to www.singaporepsa.com) Disciplines / Course Bachelor of Engineering (Mechanical Engineering) Tenable Universities / Institutions Nanyang Technological Universi...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
PSA - MaritimeONE Scholarship (NUS ME Y4),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NUS Year 4 students in AY 2019/20. Sponsor PSA Corporation Ltd (For more information on the sponsor; please go to www.singaporepsa.com) Disciplines / Course Bachelor of Engineering (Mechanical Engineering) Tenable Universities / Institutions National University of Singapo...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
NYK - MaritimeONE Scholarship (DMR DNS),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to SMA-SP Year 2 students in AY 2019/20. Sponsor NYK Shipmanagement Pte Ltd (For more information on the sponsor; please go to http://www.nyksm.com.sg/) Disciplines / Course Diploma in Marine Engineering (with CoC5) Diploma in Nautical Studies (with CoC3) Tenable Universitie...,Deadline: Closed for this cycle.,T,F,T,T,F,T,F,T,F,F,F
Sembcorp Marine - MaritimeONE Scholarship (NU BEng Y2),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to Newcastle University Year 2 students in AY 2019/20 Sponsor Sembcorp Marine Ltd (For more information on the sponsor; please go to www.sembcorpmarine.com.sg) Disciplines / Course Bachelor of Engineering with Honours in Marine Engineering Bachelor of Engineering with Honour...,Deadline: Closed for this cycle.,T,F,T,T,F,T,T,T,T,F,T
Open Call for MaritimeONE Scholarship Applications!,MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to all disciplines and all years (Year 1 to Year 4). Disciplines / Course All full-time disciplines Tenable Universities / Polytechnics All local Universities All local Polytechnics Bond Requirements 3 years General Requirements Good academic results Good leadership skills a...,Deadline: Closed for this cycle.,T,T,T,T,F,T,T,T,T,T,T
Sembcorp Marine - MaritimeONE Scholarship (NU Y3),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to Newcastle University final year students in AY 2019/20 Sponsor Sembcorp Marine Ltd (For more information on the sponsor; please go to www.sembcorpmarine.com.sg) Disciplines / Course Bachelor of Engineering with Honours in Marine Engineering Bachelor of Engineering with Ho...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
X-Press Feeders ï¿½ MaritimeONE Scholarship (NTU CS Y4),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NTU Year 4 students in AY 2019/20. Sponsor X-Press Feeders (For more information on the sponsor; please go to www.x-pressfeeders.com) Disciplines / Course Bachelor of Engineering (Computer Science) Tenable Universities / Institutions Nanyang Technological University Bond ...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
X-Press Feeders ï¿½ MaritimeONE Scholarship (NTU CE Y4),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NTU Year 4 students in AY 2019/20. Sponsor X-Press Feeders (For more information on the sponsor; please go to www.x-pressfeeders.com) Disciplines / Course Bachelor of Engineering (Computer Engineering) Tenable Universities / Institutions Nanyang Technological University B...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
X-Press Feeders ï¿½ MaritimeONE Scholarship (NUS CS Y4),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NUS Year 4 students in AY 2019/20. Sponsor X-Press Feeders (For more information on the sponsor; please go to www.x-pressfeeders.com) Disciplines / Course Bachelor of Computing (Computer Science) Tenable Universities / Institutions National University of Singapore Bond Re...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
X-Press Feeders ï¿½ MaritimeONE Scholarship (NUS CE Y4),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NUS Year 4 students in AY 2019/20. Sponsor X-Press Feeders (For more information on the sponsor; please go to www.x-pressfeeders.com) Disciplines / Course Bachelor of Engineering (Computer Engineering) Tenable Universities / Institutions National University of Singapore B...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
Jurong Port - MaritimeONE Scholarship (NTU BA Y1),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NTU Year 1 students in AY 2019/20. Sponsor Jurong Port Pte Ltd (For more information on the sponsor; please go to www.jp.com.sg) Disciplines / Course Bachelor of Business (Business Analytics) Tenable Universities / Institutions Nanyang Technological University Bond Requir...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
Jurong Port - MaritimeONE Scholarship (NTU BA Y2),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NTU Year 2 students in AY 2019/20. Sponsor Jurong Port Pte Ltd (For more information on the sponsor; please go to www.jp.com.sg) Disciplines / Course Bachelor of Business (Business Analytics) Tenable Universities / Institutions Nanyang Technological University Bond Requir...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
Jurong Port - MaritimeONE Scholarship (NTU BA Y3),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NTU Year 3 students in AY 2019/20. Sponsor Jurong Port Pte Ltd (For more information on the sponsor; please go to www.jp.com.sg) Disciplines / Course Bachelor of Business (Business Analytics) Tenable Universities / Institutions Nanyang Technological University Bond Requir...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
Jurong Port - MaritimeONE Scholarship (NTU MS Y2),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NTU Year 2 students in AY 2019/20. Sponsor Jurong Port Pte Ltd (For more information on the sponsor; please go to www.jp.com.sg) Disciplines / Course Bachelor of Science in Maritime Studies Bachelor of Science in Maritime Studies with Business Major Tenable Universities /...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
Jurong Port - MaritimeONE Scholarship (NTU EEE Y1),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NTU Year 1 students in AY 2019/20. Sponsor Jurong Port Pte Ltd (For more information on the sponsor; please go to http://www.jp.com.sg/) Disciplines / Course Bachelor of Engineering (Electrical and Electronic Engineering) Tenable Universities / Institutions Nanyang Techno...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
Jurong Port - MaritimeONE Scholarship (NTU EEE Y2),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NTU Year 2 students in AY 2019/20. Sponsor Jurong Port Pte Ltd (For more information on the sponsor; please go to http://www.jp.com.sg/) Disciplines / Course Bachelor of Engineering (Electrical and Electronic Engineering) Tenable Universities / Institutions Nanyang Techno...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
Jurong Port - MaritimeONE Scholarship (NTU ME Y1),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NTU Year 1 students in AY 2019/20. Sponsor Jurong Port Pte Ltd (For more information on the sponsor; please go to http://www.jp.com.sg/) Disciplines / Course Bachelor of Engineering (Mechanical Engineering) Tenable Universities / Institutions Nanyang Technological Univers...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
Jurong Port - MaritimeONE Scholarship (NTU ME Y2),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NTU Year 2 students in AY 2019/20. Sponsor Jurong Port Pte Ltd (For more information on the sponsor; please go to http://www.jp.com.sg/) Disciplines / Course Bachelor of Engineering (Mechanical Engineering) Tenable Universities / Institutions Nanyang Technological Univers...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
Jurong Port - MaritimeONE Scholarship (SMU Econs Y2),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to SMU Year 2 students in AY 2019/20. Sponsor Jurong Port Pte Ltd (For more information on the sponsor; please go to www.jp.com.sg) Disciplines / Course Economics (first or second major) Tenable Universities / Institutions Singapore Management University Bond Requirements 3 ...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
Jurong Port - MaritimeONE Scholarship (NTU Econs Y1),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NTU Year 1 students in AY 2019/20. Sponsor Jurong Port Pte Ltd (For more information on the sponsor; please go to www.jp.com.sg) Disciplines / Course Bachelor of Arts (Economics) Tenable Universities / Institutions Nanyang Technological University Bond Requirements 3 year...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
Jurong Port - MaritimeONE Scholarship (NUS ME Y1),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NUS Year 1 students in AY 2019/20. Sponsor Jurong Port Pte Ltd (For more information on the sponsor; please go to http://www.jp.com.sg/) Disciplines / Course Bachelor of Engineering (Mechanical Engineering) Tenable Universities / Institutions National University of Singap...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
Jurong Port - MaritimeONE Scholarship (NUS ME Y2),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NUS Year 2 students in AY 2019/20. Sponsor Jurong Port Pte Ltd (For more information on the sponsor; please go to http://www.jp.com.sg/) Disciplines / Course Bachelor of Engineering (Mechanical Engineering) Tenable Universities / Institutions National University of Singap...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
Jurong Port - MaritimeONE Scholarship (NUS ME Y3),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NUS Year 3 students in AY 2019/20. Sponsor Jurong Port Pte Ltd (For more information on the sponsor; please go to http://www.jp.com.sg/) Disciplines / Course Bachelor of Engineering (Mechanical Engineering) Tenable Universities / Institutions National University of Singap...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
Jurong Port - MaritimeONE Scholarship (NUS EE Y1),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NUS Year 1 students in AY 2019/20. Sponsor Jurong Port Pte Ltd (For more information on the sponsor; please go to http://www.jp.com.sg/) Disciplines / Course Bachelor of Engineering (Electrical Engineering) Tenable Universities / Institutions National University of Singap...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
Jurong Port - MaritimeONE Scholarship (NUS EE Y2),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NUS Year 2 students in AY 2019/20. Sponsor Jurong Port Pte Ltd (For more information on the sponsor; please go to http://www.jp.com.sg/) Disciplines / Course Bachelor of Engineering (Electrical Engineering) Tenable Universities / Institutions National University of Singap...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
Jurong Port - MaritimeONE Scholarship (NUS EE Y3),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NUS Year 3 students in AY 2019/20. Sponsor Jurong Port Pte Ltd (For more information on the sponsor; please go to http://www.jp.com.sg/) Disciplines / Course Bachelor of Engineering (Electrical Engineering) Tenable Universities / Institutions National University of Singap...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
Jurong Port - MaritimeONE Scholarship (NTU MS Y1),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NTU Year 1 students in AY 2019/20. Sponsor Jurong Port Pte Ltd (For more information on the sponsor; please go to www.jp.com.sg) Disciplines / Course Bachelor of Science in Maritime Studies Bachelor of Science in Maritime Studies with Business Major Tenable Universities /...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
Jurong Port - MaritimeONE Scholarship (NTU ME Y3),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NTU Year 3 students in AY 2019/20. Sponsor Jurong Port Pte Ltd (For more information on the sponsor; please go to http://www.jp.com.sg/) Disciplines / Course Bachelor of Engineering (Mechanical Engineering) Tenable Universities / Institutions Nanyang Technological Univers...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
"""K"" Line - MaritimeONE Scholarship (NTU MS Y1)",MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),"This scholarship is open to NTU Year 1 students in AY 2019/20. Sponsor ""K"" Line (Singapore) Pte Ltd (For more information on the sponsor; please go to www.kline.com.sg) Disciplines / Course Bachelor of Science in Maritime Studies Bachelor of Science in Maritime Studies with Business Major ...",Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
PSA - MaritimeONE Scholarship (NTU MS Y1),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NTU Year 1 students in AY 2019/20. Sponsor PSA Corporation Ltd (For more information on the sponsor; please go to www.singaporepsa.com) Disciplines / Course Bachelor of Science (Hons) in Maritime Studies Bachelor of Science (Hons) in Maritime Studies with Business Major T...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
SMA - MaritimeONE Scholarship (NTU MS Y1),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NTU Year 1 students in AY 2019/20. Sponsor Singapore Maritime Academy; Singapore Polytechnic (For more information on the sponsor; please go to http://www.sma.sp.edu.sg) Disciplines / Course Bachelor of Science (Hons) in Maritime Studies Bachelor of Science (Hons) in Mari...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,T
PCL - MaritimeONE Scholarship (NTU MS Y2),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NTU Year 2 students in AY 2019/20. Sponsor Pacific Carriers Limited (For more information on the sponsor; please go to https://www.pclsg.com/) Disciplines / Course Bachelor of Science (Hons) in Maritime Studies Bachelor of Science (Hons) in Maritime Studies with Business ...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
PSA - MaritimeONE Scholarship (NTU MS Y2),MaritimeONE Scholarships (Singapore Maritime Foundation / SMF),This scholarship is open to NTU Year 2 students in AY 2019/20. Sponsor PSA Corporation Ltd (For more information on the sponsor; please go to www.singaporepsa.com) Disciplines / Course Bachelor of Science (Hons) in Maritime Studies Bachelor of Science (Hons) in Maritime Studies with Business Major T...,Deadline: Closed for this cycle.,T,F,T,T,F,F,T,T,T,F,F
